-00375	00471	00165
-00463	00475	00251
-00547	00443	00370
-00570	00422	00377
-00557	00421	00354
-00527	00403	00308
-00479	00371	00125
-00442	00361	-00037
-00444	00354	-00018
-00463	00355	00092
-00496	00352	00167
-00554	00341	00265
-00599	00331	00217
-00613	00333	00147
-00605	00307	00124
-00569	00278	00072
-00523	00245	00071
-00472	00221	00032
-00442	00192	-00008
-00449	00178	00003
-00476	00150	00041
-00477	00133	00100
-00474	00104	00145
-00465	00099	00146
-00446	00085	00125
-00412	00065	00058
-00366	00031	-00079
-00309	00003	-00234
-00290	-00019	-00262
-00314	-00019	-00268
-00376	-00025	-00188
-00428	-00033	-00079
-00472	-00056	-00017
-00489	-00075	-00026
-00496	-00087	-00027
-00458	-00121	-00075
-00400	-00170	-00114
-00353	-00207	-00211
-00357	-00210	-00221
-00429	-00211	-00153
-00516	-00196	00040
-00564	-00190	00227
-00577	-00193	00192
-00588	-00199	00118
-00574	-00203	00048
-00533	-00217	-00037
-00459	-00245	-00112
-00402	-00276	-00146
-00416	-00296	-00152
-00463	-00299	-00091
-00518	-00305	-00001
-00538	-00307	00024
-00531	-00303	-00029
-00542	-00304	-00119
-00551	-00313	-00064
-00552	-00330	-00009
-00544	-00343	00048
-00543	-00358	00092
-00556	-00363	00111
-00567	-00363	00091
-00560	-00364	-00024
-00542	-00368	-00046
-00529	-00377	00004
-00521	-00391	00109
-00512	-00408	00128
-00504	-00424	00147
-00492	-00446	00125
-00472	-00452	00056
-00444	-00462	00039
-00425	-00472	-00028
-00393	-00470	-00076
-00373	-00474	-00119
-00372	-00490	-00155
-00383	-00508	-00047
-00373	-00530	00004
-00363	-00542	00015
-00339	-00542	00008
-00336	-00548	-00018
-00328	-00557	-00049
-00305	-00574	-00017
-00280	-00593	-00056
-00266	-00622	-00154
-00292	-00640	-00166
-00326	-00650	-00050
-00313	-00672	-00035
-00302	-00683	-00062
-00296	-00687	-00055
-00306	-00683	-00071
-00301	-00681	-00065
-00278	-00704	-00016
-00259	-00720	00047
-00244	-00739	00001
-00236	-00743	-00057
-00248	-00756	-00058
-00239	-00749	-00041
-00222	-00757	-00052
-00202	-00761	-00063
-00208	-00774	-00059
-00228	-00775	00001
-00226	-00788	-00012
-00215	-00799	-00034
-00217	-00805	-00041
-00219	-00808	-00041
-00224	-00812	-00028
-00223	-00805	00002
-00227	-00804	00053
-00244	-00792	00125
-00244	-00792	00168
-00240	-00799	00181
-00235	-00798	00128
-00217	-00794	00125
-00206	-00793	00048
-00206	-00781	00011
-00198	-00772	-00045
-00208	-00748	-00089
-00246	-00709	-00017
-00297	-00687	00062
-00330	-00666	00108
-00329	-00649	00166
-00302	-00643	00120
-00258	-00634	00015
-00200	-00626	-00138
-00123	-00634	-00307
-00079	-00621	-00400
-00096	-00584	-00341
-00133	-00542	-00181
-00172	-00506	-00120
-00207	-00468	-00128
-00245	-00438	-00167
-00276	-00399	-00198
-00281	-00370	-00197
-00270	-00346	-00156
-00277	-00315	-00048
-00306	-00275	00044
-00304	-00239	00086
-00279	-00204	00020
-00251	-00174	-00020
-00197	-00159	00039
-00119	-00163	00054
-00041	-00157	-00075
-00004	-00142	-00173
-00034	-00112	-00099
-00083	-00070	-00098
-00139	-00003	-00118
-00205	00068	-00020
-00266	00115	00043
-00280	00137	00084
-00231	00138	00024
-00144	00151	-00028
-00084	00165	-00078
-00009	00171	-00156
00053	00181	-00196
00105	00219	-00279
00115	00263	-00379
00082	00310	-00355
00049	00342	-00242
00009	00370	-00180
-00023	00404	-00117
-00059	00436	-00019
-00077	00472	-00040
-00069	00497	-00142
-00030	00525	-00277
00022	00556	-00414
00052	00578	-00489
00066	00581	-00404
00056	00589	-00334
00026	00611	-00236
-00025	00637	-00212
-00085	00670	-00205
-00134	00705	-00185
-00164	00740	-00130
-00156	00781	-00075
-00119	00818	-00059
-00070	00838	-00092
-00032	00850	-00148
-00006	00859	-00181
-00012	00876	-00139
-00017	00894	-00048
-00025	00900	00011
-00045	00908	00049
-00075	00917	00069
-00076	00932	00102
-00045	00938	00136
-00012	00942	00104
00026	00949	00115
00055	00949	00119
00078	00955	00084
00091	00964	00089
00116	00963	00092
00135	00951	00034
00155	00935	-00028
00150	00927	-00038
00128	00922	00004
00108	00912	00024
00092	00906	00062
00058	00904	00135
00035	00896	00187
00022	00893	00204
00019	00875	00188
00035	00853	00193
00028	00818	00179
00017	00781	00216
00025	00755	00174
00041	00738	00117
00042	00707	00041
00031	00668	-00013
00005	00636	-00006
-00004	00613	00055
-00010	00585	00087
-00034	00541	00139
-00032	00506	00119
00003	00475	-00009
00037	00430	-00206
00034	00398	-00403
-00008	00368	-00286
-00060	00336	-00034
-00118	00289	00266
-00189	00221	00434
-00264	00175	00412
-00309	00145	00349
-00291	00112	00276
-00250	00074	00253
-00203	00040	00259
-00161	00003	00236
-00136	-00035	00199
-00111	-00078	00146
-00096	-00104	00033
-00086	-00142	-00059
-00063	-00194	-00139
